Year,State,Population,Area (km2),Confirmed,Deaths,Recovered
2020,Selangor,6715600,7951,4495,26,3364
2020,Sabah,4047000,73904,14053,114,5683
2020,Johor,3926500,19166,897,21,811
2020,Sarawak,2907500,124450,856,19,743
2020,Perak,2611600,20976,495,7,367
2020,Kedah,2267500,9492,2118,8,1926
2020,Kelantan,1959700,15040,179,3,170
2020,Kuala Lumpur,1910700,243,3033,19,2849
2020,Penang,1806500,1049,957,3,667
2020,Pahang,1750100,35965,393,7,382
2020,Terengganu,1294100,13052,192,1,158
2020,Negeri Sembilan,1162600,6656,1582,8,1116
2020,Malacca,960500,1720,308,5,270
2020,Perlis,264700,816,38,2,36
2020,Labuan,103100,92,392,2,104
2020,Putrajaya,94600,49,143,1,121
