State,Case,Value
Selangor,Confirmed,4495
Selangor,Deaths,26
Selangor,Recovered,3364
Selangor,Active,1105
Sabah,Confirmed,14053
Sabah,Deaths,114
Sabah,Recovered,5683
Sabah,Active,8256
Johor,Confirmed,897
Johor,Deaths,21
Johor,Recovered,811
Johor,Active,65
Sarawak,Confirmed,856
Sarawak,Deaths,19
Sarawak,Recovered,743
Sarawak,Active,94
Perak,Confirmed,495
Perak,Deaths,7
Perak,Recovered,367
Perak,Active,121
Kedah,Confirmed,2118
Kedah,Deaths,8
Kedah,Recovered,1926
Kedah,Active,184
Kelantan,Confirmed,179
Kelantan,Deaths,3
Kelantan,Recovered,170
Kelantan,Active,6
Kuala Lumpur,Confirmed,3033
Kuala Lumpur,Deaths,19
Kuala Lumpur,Recovered,2849
Kuala Lumpur,Active,165
Penang,Confirmed,957
Penang,Deaths,3
Penang,Recovered,667
Penang,Active,287
Pahang,Confirmed,393
Pahang,Deaths,7
Pahang,Recovered,382
Pahang,Active,4
Terengganu,Confirmed,192
Terengganu,Deaths,1
Terengganu,Recovered,158
Terengganu,Active,33
Negeri Sembilan,Confirmed,1582
Negeri Sembilan,Deaths,8
Negeri Sembilan,Recovered,1116
Negeri Sembilan,Active,458
Malacca,Confirmed,308
Malacca,Deaths,5
Malacca,Recovered,270
Malacca,Active,33
Perlis,Confirmed,38
Perlis,Deaths,2
Perlis,Recovered,36
Perlis,Active,0
Labuan,Confirmed,392
Labuan,Deaths,2
Labuan,Recovered,104
Labuan,Active,286
Putrajaya,Confirmed,143
Putrajaya,Deaths,1
Putrajaya,Recovered,121
Putrajaya,Active,21
